item_id,label,n_gigs,n_sellers,median_price,mean_price,median_reviews,sample_descriptions
18,send | beautiful | send postcard | postcard | postcard genova,12,8,5.00,24.71,1,create a beautiful ministry and church flyer or poster ||| send you one of these beautiful tibetan bracelets ||| create beautiful children illustrations
19,edit | proofread | manuscript | proofread edit | bitcoin,12,11,270.00,179.27,1,"edit your document to ensure correct english spelling and grammar ||| provide a quick manuscript assessment and edit ||| proofread and edit your english document, script, blog, book manuscript, or text"
20,youtube | thumbnail | youtube thumbnail | design youtube | channel,31,15,10.00,11.61,602,write python development script for youtube streamers customization and addons ||| be video script writer exclusively for youtube ||| do youtube video script writing
21,testing | 10 | qa | names | qa testing,12,7,20.00,43.85,27,"give you 10 original creative names for anything you want usernames, pets, bands ||| cast 10 votes for you in contest ||| do testing and review your websites and mobile applications as qa engineer"
22,setup | monday | protection | fantastic | secure,6,4,10.00,11.73,9,setup monday crm project management board with monday com ||| setup monday monday crm clickup airtable and be your main monday com expert ||| setup protection for images from being copied or stolen
23,program | affiliate | affiliate program | install | configure,13,7,5.00,21.16,46,install ssl certificate and configure http to https free ||| install and configure wordpress plugin ||| create a visual basic or csharp program
24,voice | record | female | record professional | male,47,22,15.00,22.05,186,record your professional voice over in american english with commercial rights ||| record your professional voice over in british english with commercial rights ||| record your professional voice over in american english
25,email | klaviyo | marketing | email marketing | email template,17,7,10.00,25.38,298,write engaging emails for your email marketing campaign ||| send bulk email or email blast in millions ||| send bulk emails and email marketing services
26,sales | funnel | sales funnel | highly | converting,6,4,100.00,80.10,3,design your getresponse autoresponder or sales funnel ||| create your survey funnel sales copy script ||| map out a profitable sales funnel
27,editing | photoshop | photoshop editing | photo | video editing,21,18,5.00,12.18,502,professionally do photoshop editing and retouching ||| do watercolor photo slideshow or professional video editing ||| do green screen remove chroma key and video editing services
28,english | translate | translate english | spanish | versa,26,22,5.00,16.48,80,translate up to 350 words english to swedish fast professional ||| dub your video from any language into english ||| translate english to malay or vice versa
29,audio | track | audio video | video | transcribe,19,15,20.00,29.46,342,do transcription of your audio and video up to 15 minutes ||| fix your audio track within your video ||| transcript flawlessly up to 60 minute audio in lowest price
30,message | send | cool | christian | send cool,27,6,5.00,10.62,63,"write animated love, married, birth, romantic message for $5 ||| create a cool looking poster for your concert or tour ||| ask him or her to forgive you for $5"
31,create | video | create custom | custom | brand,43,27,40.00,191.28,101,create a stunning banner for your product or brand ||| be your lifestyle model for your product or brand ||| create a captivating promotional or explainer video
32,background | picture | remove | profile picture | remove background,13,11,5.00,10.77,66,"professionally remove background of any picture ||| remove background , crop, resize , edit, ||| design your facebook profile picture frame"
33,promote | promote business | sign | business | organically,14,9,40.00,37.97,46,hold a sign promoting your product/website/business ||| hold a sign with any message you want ||| promote your bussines holding your sign
34,coach | professionally coach | professionally | cartoonize | war,7,4,30.00,24.62,172,professionally cartoonize your photo ||| cartoonize your lovely pet ||| coach you in call of duty warzone and cold war
35,text | animate | text clickable | logo | clickable,7,6,45.00,42.71,66,"carve your logo or text into stone, wood, metal etc ||| animate text to look like it is being written on a chalkboard ||| do signature, script, text or typography logo design"
36,build | adsense | keywords | niche | website,6,6,800.00,814.17,9,give you more 3500 expensive adsense keywords ||| create killer video guide for finding high paying keywords for your niche in less than 5 minutes ||| build a web application pwa for your business
37,make | money | wire | earrings | pendant,26,9,20.00,73.70,66,make a solidity react web3 dapp for you ||| make a professional animation of your logo ||| make a simple app tutorial video
38,videos | exercise | fitness | videos youtube | fitness exercise,13,7,40.00,61.22,38,"do original hand drawing , coloring videos for youtube ||| do original hand drawing , coloring videos for youtube ||| doodle videos animated doodle video presentations"
39,grant | letter | writing | nonprofit | application,9,3,45.00,47.93,13,"research grants, write rfp, grant application for 501c3 nonprofit funding ||| do grant writing for community development projects ||| write letter of intent or inquiry for nonprofit grant"
40,blog | article | blog website | write | website,22,16,5.00,42.40,19,monetize website or blog instant by advertisement and affiliate marketing etc ||| add the facebook like button in your wordpress blog posts ||| put a permanent link to your website on my blog
41,just | site | make | membership | make wordpress,9,5,5.00,12.40,178,make you a shia labeouf just do it video ||| do various online related works just ||| make your wordpress blog to a professional membership site
42,shopify | store | ecommerce | shopify store | products,17,12,50.00,682.95,129,upload products to your wordpress ecommerce site ||| setup and customize your shopify store ||| import 250 products to your ecommerce store
43,font | pack | hot | plr | family,3,2,5.00,5.00,529,give you a pack of 110000 plr articles on 168 hot niches ||| send you a complete helvetica family font pack ||| identify the font on anything or find font for you now
44,digital | painting | photo | art | manipulate photo,7,6,45.00,51.61,13,turn your photo into painting art ||| manipulate your photo into imaginative digital art ||| do premium digital painting
45,cover | book | book cover | design | ebook,41,21,50.00,247.27,68,design your next album cover ||| design a professional ebook cover or kindle cover ||| design a professional book cover and flyers
46,3d | model | animation | exterior | render,59,27,50.00,104.47,65,"make 3d architecture rendering ||| make a photo realistic 3d render of your product or idea ||| design 3d models and 2d drawings in catia v5, 3d rendering in keyshot"
47,backlinks | dofollow | edu | edu backlinks | seo,20,11,25.00,90.05,54,do tech guest post or niche edit link insertion outreach dofollow seo backlinks ||| be your seo outreach expert for backlinks from real websites ||| build high da seo backlinks from real sites with organic traffic
48,classified | ads | post | 30 | classified website,10,4,5.00,23.33,277,give you a list of over 1000 high pr directories ||| add your website to high traffic classified ad network for 30 days ||| be your entertainment lawyer for up to 30 days
49,list | email list | follow | email | targeted,15,7,5.00,5.59,211,"provide you any country email list ||| provide targeted niche valid active fresh clean email list ||| design attractive price list, menu or chart of any services"
50,000 | memes | provide | 10 000 | 10,5,2,5.00,7.78,7,"send 100,000 usa traffic and real clicks on ads within 1 day ||| send 10,000 usa traffic and real clicks on ads within 1 day ||| provide 10,000 dank memes"
51,vector | vector tracing | tracing | pattern | logo,15,12,5.00,9.68,216,"do vector tracing and convert,redraw your logo in very fast ||| design repeated seamless pattern vector ||| do vector seamless camouflage pattern"
52,sites | wheel | link wheel | pr | linkwheel,14,2,5.00,5.85,18,submit your url manually to high pr social bookmarking sites ||| creat a google favorite link wheel from 6 pr6 to pr8 web properties for increase in google ranking ||| create a linkwheel for you using 8 pr6 to pr 9 web 2 point 0 sites and then ping all the sites to get them indexed
53,review | review website | documents | write | website,7,7,15.00,18.63,53,write or review your employee handbook and hr procedures ||| write a positive review of any book on amazon ||| review your website in detail
54,graphic | shirt | graphic design | shirt design | custom,15,13,15.00,13.90,419,create modern graphical t shirt design ||| be your professional graphic designer ||| draw a professional graphic t shirt design
55,mix | master | mix master | metal | professionally,13,9,20.00,42.09,1350,mix and master your track to industry standard for any genre and any platform ||| mix master and edit your vocals to industry standard ||| mix and master your music pop rock indie metal hip hop
56,new | new year | year | according | training,6,6,200.00,299.55,4,design a training according to systematic approach to training addie ||| design web pages according to new design trends ||| design a magic christmas happy new year cards
57,essays | journalism | case | write | reports,5,4,10.00,58.00,27,"help you with winning ideas for scholarship essays ||| do research and write essays, reports and summaries ||| write your application essays and get you accepted"
58,concept | concept art | draw | art | create fantasy,11,6,25.00,55.90,47,"create a fantasy character or other concept art for you ||| create original character design and concept art for you, not ai ||| create environment concept art"
59,website | seo | wix | content writer | wix website,25,16,100.00,469.29,24,"design a quality logo for your website or business ||| design an attractive,professional website banner or header ||| develop wix ecommerce store, business wix website, wix website redesign"
60,song | vocals | tune | jingle | song jingle,10,6,40.00,85.94,86,sing on your original song or jingle ||| record background vocals on your song ||| record vocals for a childrens song
61,ads | facebook | google | google ads | optimize,44,19,30.00,61.00,115,do google adwords and ppc ads campaign for sales ||| create shopify facebook video ads for dropshipping products ||| create shopify facebook video ads for dropshipping product
62,personal | sourcing | sourcing agent | agent | taxes,9,7,25.00,28.23,29,do a personal image and style consultation ||| be your sourcing agent personal assitant in shenzhen china ||| be your personal typist
63,product | video | amazon | product video | amazon product,21,16,25.00,60.47,30,do label design for your product ||| edit your product picture for amazon and ebay ||| create a 30 sec video for your product
64,apps | 100 | google | begining promotion | plus site,6,5,5.00,8.64,295,"+1 google plus one your site 100 times as a begining promotion ||| +1 google plus one your site 10 times check inside the 100 +1s unbelivable begining promotion ||| write you 3 amazing, 100 word craigslist ads"
65,convert | pdf | powerpoint | word | convert pdf,36,11,25.00,44.59,92,"do convert pdf, sketch or blueprint drawing to autocad ||| convert pdf sketch architectural drawing in autocad one day ||| design in photoshop or illustrator any type graphic you need"
66,read | audiobook | beta | beta read | italian audiobook,8,7,15.00,42.35,34,"read and record your ebook then send it to you as an mp3 file ||| record your italian audiobook, voiceover ||| read your italian audiobook with acx standards"
67,projects | engineering | java | engineering products | products,7,6,20.00,26.65,131,"make 3d modeling,product designing,engineering products with technical drawing ||| do your assembly mips projects ||| do your java projects"
68,data | entry | excel | data entry | web research,13,11,10.00,17.54,179,"do data entry, copy paste, web research, web scraping and excel data entry ||| do web research and data entry for you ||| setup zoho crm, zoho campaign, zoho automation, zoho survey"
69,perfect | 24 hours | 24 | hours | design perfect,11,9,800.00,463.88,5,"design perfect minimalist logo within 24 hours ||| type 100 pages in 24 hours english arabic tamil typing with 88 wpm ||| design perfect, awesome professional header , banner"
70,200 | old | update | minutes | followers,4,4,5.00,7.50,683,"write anything in the glagolitic, old slavonic script, such as your name or message, up to 200 characters ||| help your brand reach 200,000 users on pinterest ||| show how to get 200 followers in 7 minutes"
71,tip | accept | accept tip | work | happily accept,7,6,5.00,5.65,111,accept a tip from you if you appreciate my work ||| accept tip if you are extremely satisfied with my work ||| accept a tip for services provided for $5
72,vfx | car | wrap | great | video,3,3,20.00,15.83,8,"design a great car,van,truck wrap ||| do vfx to your video ||| do car animation and vfx"
73,file | embroidery | convert | convert file | formats,6,5,5.00,6.88,6709,"convert your file into a different format ||| convert various file formats ||| make any machine embroidery design in dst,pes or others file"
74,ad | copy | ad copy | write | copy converts,10,9,20.00,62.99,13,"write facebook ad copy that converts ||| design high quality ad banners for your facebook teespring ad campaigns ||| write copy for taboola, outbrain native ad advertorials"
75,wpap | portraits | stylish | pop | day,2,2,10.00,10.58,478,do professional wpap pop art less than a day ||| do vibrant and stylish wpap portraits
76,fiverr | login | login fiverr | starting | need,3,3,10.00,9.77,42,login to fiverr ||| login to fiverr ||| get everything you need starting at $5 - fiverr
77,python | django | python django | learning | django flask,5,4,40.00,34.26,59,"tutor you in python, data science and machine learning ||| deploy your python django web app to heroku or cpanel server ||| create python django flask project"
78,advice | legal advice | offshore | legal | germany,8,5,45.00,64.67,14,give you relationship advice and listen to your problem ||| give legal advice to startups ||| incorporate your business offshore
79,monty | xcr | xcr monty | senuke xcr | senuke,4,1,5.00,5.00,0,use senuke xcr ☯full monty☯ for your youtube video and crawl it by lindexed ||| use senuke xcr ☯full monty☯ and crawl it by lindexed ||| use senuke xcr full monty and crawl it by lindexed
80,flyer | poster | event | design | flyer poster,22,14,450.00,353.69,2,"do amazing church flyer design, event flyer design, christmas ||| do a sparkling sport flyer design and fitness flyer, poster ||| create a professional real estate, business flyer or poster"
81,server | sql | sql server | discord server | discord,16,6,100.00,181.38,67,resolve microsoft sql server database performance issues ||| check and fix health of microsoft sql server instance ||| resolve sql server 2016 post migration slowness
82,ideas | internet | unique | unique way | craft,8,5,5.00,21.32,19,give you internet marketing warrior tools ||| draw products appliance furnitures wearables from your ideas ||| illustrate your ideas in a unique way
83,app | mobile | mobile app | android | ui,34,24,15.00,97.66,28,develop and debug your android app ||| do an icon design in 4 hours ||| create mobile app icon design
84,halloween | film | work | message | provide film,3,3,20.00,41.67,2,provide film financing consultation and expert guidance for your film project ||| film a fangtastic halloween message with vampirela ||| do all halloween work for you
85,building | plans | design | link building | manually,3,2,10.00,12.50,16,design fire water sprinkler system of any building ||| design emergency evacuation plans of any building ||| do manually top quality link building only pr10 sites
86,lesson | tutor | cooking video | cooking | software,4,3,15.00,17.28,31,"tutor you in software development, coding or programming ||| give you a clarinet lesson or be your clarinet tutor ||| create cooking video lesson for you"
87,produce | instrumental | beat | song | tracks,10,8,15.00,40.81,84,produce a beat or remix your samples ||| produce studio drum tracks ||| compose and produce kids music nursery rhymes for children
88,lawyer | entertainment | contracts | law | entertainment lawyer,20,1,50.00,82.36,20,provide entertainment law and music law services be your entertainment lawyer ||| be your entertainment law and music law consultant ||| provide an affordable contract pack and be your entertainment lawyer
89,code | qr | qr code | desktop application | desktop,6,6,10.00,11.06,320,"code a modern, minimal biography webpage ||| add beauty to your qr code / customize your qr code ||| write any verse custom device code in fortnite uefn"
90,buy | promo buy | gigs pay | pay | buy gigs,4,2,5.00,5.00,12,"give you an edu blog of you own, the greatest seo advantage you could have, promo buy 3 gigs pay 2 ||| get you your own edu domain fast great opportunity build your own site on a edu domain, promo buy 3 gigs pay 2 ||| give you autoblog samurai full version program to automate your blogs and earn money, promo buy 3 gigs pay 2"
91,google analytics | analyze website | analyze | analytics | google,3,3,5.00,6.56,4,analyze your website using google analytics ||| set up your google analytics ||| analyze your website copy and offer helpful suggestions
92,vocal | complete | pitch | correction | exercises,3,2,10.00,7.67,36,give you amazing vocal exercises in mp3 format ||| do professionally vocal tuning or pitch correction in 24hrs ||| do complete vocal processing or enhancing
93,portrait | family | photography | portrait photo | christmas,7,6,5.00,42.44,59,create your typographic portrait like grammy s posters ||| boost your ecommerce with creative photography in miami ||| do family portrait photography in miami
94,service | number | ein number | ein | seo service,6,5,120.00,214.90,21,"be your complete monthly seo service expert ||| do us llc company registration, ein number and brand registry formation service ||| do instant or express ein number"
95,mind | piece | email list | email | elevate brand,1,1,5.00,5.00,0,anonymously call your boss and give him a piece of your mind
96,free | face | free preview | preview | preview buying,11,5,5.00,7.76,85,"send you a new black bikini + free shipping ||| send you iphone 5 / ipod min flat usb cable 3ft/1m + free shipping ||| send you a nose, ear, face hair trimmer + free shiping"
97,local | gmb | local seo | seo | google,7,3,50.00,74.09,115,do professional local seo ||| do monthly local seo and google my business optimization ||| reinstate gmb fix disabled suspended google my business
98,edm | ghost producer | producer | ghost | songs,4,4,50.00,48.33,82,promote your music to 270k edm fans on youtube ||| be your edm ghost producer ||| be your ghost producer for your pop edm hits songs
99,color | change | furniture | turn | change color,10,8,10.00,10.71,44,change your eye color ||| turn your logo to 6 realistic designs ||| turn anyone portraits into a full color cartoon avatar
100,collection | nft | nft collection | sports | unique nft,5,5,400.00,290.00,70,"create a pixel art nft collection for your project ||| create generative unique nft art collection 100, 1k and 10k ||| give you an appraisal of your sports collection"
101,tell | ways | 15 | read | british,6,3,5.00,5.00,0,read your one hand/palm and tell you its meaning ||| tell you how to find and list products to sell on ebay ||| tell you everything you need to know about how to organize a garage or yard sale
102,linkedin | bio | linkedin profile | profile | connections,8,5,15.00,14.60,21,"write a bio, design professional resume and linkedin profile creation, summary ||| share your link with my 20k linkedin connections ||| write your astounding linkedin bio"
103,course | as400 | course ibm | ibm as400 | ibm,4,2,35.00,29.75,16,give you a course on the ibm as400 cobol ||| give you a course on the ibm as400 rpg ||| create your online course content and course curriculum
104,skin | serum | make best | video | best,4,3,25.00,24.17,81,"make best custom minecraft skin ||| smooth skin in video ||| create presets for massive, sylenth1, serum, zebra, diva"
105,advisor | expert advisor | expert | indicator | mt4,5,2,20.00,47.62,149,"code a metatrader mt4 indicator or expert advisor robot on any custom indicator ||| create mt4, mt5 indicator or expert advisor metatrader ||| add news filter to your mt4 or mt5 ea expert advisor"
106,twitter | followers | 1000 | instant | twitter followers,20,10,10.00,13.77,85,"design twitter header, covers and manage ads campaign ||| design website header, twitter banner, pinterest pin and ads ||| add 500+ twitter followers to your profile needing your password and without harming your account in any way"
107,lessons | provide | provide professional | video lessons | professional,6,3,15.00,26.54,6,provide professional 1 on 1 lessons on video editing ||| be your music teacher through professional guitar lessons ||| provide professional singing lessons
108,test | bugs | software | games | different,3,3,20.00,18.75,36,"test your games and software on different platforms ||| test your website for bugs and usability ||| test apps,websites, software and report bugs"
109,based | computer | manufacturers | work | dropshipping,3,2,15.00,15.00,4,"do any computer based work ||| find the best us based dropshipping suppliers, manufacturers ||| provide an eu us uk based clothing, fashion supplier list"
110,step | easy | step step | way | easy step,5,2,5.00,5.00,0,show you how to lose weight the easy way ||| show you step by step how to make a blog and optimize it so that you get hundreds of visitors every day ||| show you how to make handmade paper in 10 easy steps
111,credit | score | boost | repair | restoration,3,1,95.00,89.70,164,provide letters to boost your credit score and clean credit report ||| repair your credit and show you how to boost your score fast ||| offer credit consultation and complete restoration package
112,detailed | models | conduct | topic | architectural,4,4,10.00,43.08,31,draw your pet into a super detailed vector ||| convert your great idea into a detailed fiction book outline ||| create detailed architectural models in rhino
113,sound | sound design | sound effects | effects | design,6,5,45.00,34.87,61,"provide you with a library of 1001 sound effects ||| sound design your video ||| create sound effects, sound design for app, game with free preview before buying"
114,press | release | press release | music press | music,3,2,40.00,38.46,42,write a press release and distribute to targeted local and regional media ||| design a premium music press kit or artist press release ||| write an attention grabbing music press release
115,recipes | delicious | healthy delicious | healthy | different,6,2,5.00,5.41,13,"give you 54 lip gloss, massage oil, and body spray recipes ||| give you 126 easy, healthy, and delicious recipes for maximum sports performance ||| show you how to pamper your cat with 100 recipes for your feline friend"
116,ebooks | giving away | away | giving | rights,3,3,5.00,5.00,0,give you 112 ebooks with resale rights ||| how to attract more fb fans giving away free fanpage images ||| how to build your list giving away mini ebooks
117,rap | beats | sing | hop beats | hip hop,4,4,45.00,35.57,123,"sing, rap and make different beats for you with my talent ||| produce an exclusive rap and hip hop beats ||| sing rnb and pop vocals or deliver a rap for your project"
118,teach | security | teach make | coding | theory,7,5,5.00,7.80,29,teach you how to make bath bomb ||| teach you to make great yemin jachnun ||| check your website for any security hole
119,files | csv | prepare | dxf | laser,2,2,10.00,10.00,3,"prepare your csv xls files for importing in your webshop ||| create dxf, dwg files for cnc, laser and plasma cutting"
120,bot | telegram | airdrop | airdrop bot | telegram airdrop,8,5,30.00,22.76,39,create a telegram airdrop bot for you in 12 hours ||| make a high quality telegram airdrop bot for you ||| make a premium featured telegram airdrop bot in 2 hours
121,related | learn | property | company | video,4,4,15.00,28.60,18,create video tutorials for any music related skill you want to learn ||| learn you everything about aphrodisiac ||| create finance related content for your company
122,slides | infographics | ppt | medical | google,1,1,50.00,50.00,1,"create medical infographics, ppt slides, and google slides"
123,mysql | design mysql | php | mysql database | database,5,3,10.00,13.14,175,"fix php script, mysql errors, mysql database issues and bugs ||| create php contact, signup email forms with phpmailer smtp script ||| setup or fix linux,server,cpanel,whm,plesk,email, mysql,dns,php, wordpress,vps"
124,awesome | create awesome | create | awesome 3d | awesome custom,8,4,5.00,13.81,3216,create an awesome pdf ebook ||| create awesome ppt or pps presentation ||| create an awesome fliped ebook
125,real estate | estate | real | estate logo | logo,11,8,35.00,31.40,114,do real estate skip tracing services ||| provide motivated seller real estate leads with skip tracing ||| design unique 3d real estate property construction home logo
126,intro | logo | youtube | animation | intro outro,33,18,20.00,45.10,102,"design a professional email signature in adobe illustrator ||| compose memorable podcast intro and outro music ||| design custom twitch or mixer logo, panels, screens, alerts"
127,answer | question | mortgage | canadian | usa,3,3,5.00,5.00,83,answer general mortgage underwriting questions ||| answer any usa or canadian tax question ||| answer any question about circumcision
128,help | assignments | sharp | assignments problems | help started,17,9,5.00,19.72,30,provide you help with simple linux/unix command ||| help you in your biology assignments and problems ||| help you with bioinformatics
129,write | articles | words | story | short,47,35,20.00,41.62,57,write 400 words for you in under 20h ||| write your book intro ||| write you an academic essay up to 500 words for $5
130,backpage | posts | submission | backpage posts | 25,6,1,5.00,5.50,0,do cheap backpage posting with 115 + 25 posts ||| submit same ad 91 times on backpage with major cities of usa ||| give you 130 backpage submission
131,strategy | marketing | digital marketing | brand | digital,12,10,245.00,215.45,9,code forex mt4 dashboard scanner for your custom indicator and strategy ||| create a dashboard scanner in mql4 for mt4 on custom indicators or strategy ||| be your seo strategy consultant
132,unity | game | assets | 3d | developer,13,10,10.00,40.63,46,"do 3d garment or cloth for fashion online shopping and game ||| developer game with cocos creator, unity, pixijs ||| edit your video quickly and professionally"
133,social media | media | social | media post | media manager,19,17,40.00,49.87,132,design social media kit for political campaign ||| write social media captions for your business ||| create social media content for your restaurant in miami
134,point presentation | power point | point | power | presentation,3,3,25.00,18.33,4,make great power point presentation for your personal or business need ||| create an impressive power point presentation ||| design power point presentation and sale pitch deck with videos training modules
135,clickfunnels | funnels | capture | landing | pages clickfunnels,4,3,995.00,681.61,6,"build clickfunnels membership or sales funnels lead capture landing page ||| use clickfunnels to design funnels in clickfunnels,landing pages in clickfunnels ||| build funnels,landing pages in clickfunnels and clickfunnels integrations"
136,design | design custom | icons | geometric | tattoo,11,9,15.00,16.65,30,create complex geometric patterns for you ||| design a modern polygonal and geometric logo ||| design you a custom tattoo
137,privacy | policy | disclaimers | privacy policy | write,3,3,15.00,15.92,275,"provide, legal services, privacy policy, disclaimers, others ||| write your privacy and gdpr data protection policy ||| write website disclaimers, terms and conditions or privacy policy"
138,html | responsive | convert | convert psd | psd,5,4,15.00,25.78,51,"convert your psd to a responsive html email template ||| convert sketch to html with responsive design ||| design develop a custom responsive website in html, css, javascript, and php"
139,traffic | send | site | traffic site | traffic website,7,3,5.00,5.00,0,show you how to get viral traffic to your site ||| show you how to generate pinterest traffic ||| send 1200 adult traffic to your website or link
140,etsy | etsy shop | shop | etsy seo | tags,4,3,10.00,11.62,203,"do etsy seo titles, tags to top rank listings for more sales ||| constructively critique and review your etsy shop ||| write an awesome etsy shop announcement"
141,secret | teespring | method | earn | hundreds,3,2,5.00,5.00,15,provide teespring secret business method ||| show you secret twitter techniques to earn hundreds of dollars every day ||| show you the secret baby steps to making a personal fortune from selling clickbank products starting today
142,songwriter | platinum | platinum record | record | music producer,3,2,75.00,66.02,223,be your singer songwriter ||| be your platinum record music producer ||| be your platinum record songwriter
143,feed | rss feed | rss | submit rss | directories,3,1,5.00,5.00,0,create and rss feed for any website ||| submit your rss feed to directories ||| submit your rss feed to 25 directories for traffic
144,generated | ai generated | generated content | ai | content,3,3,15.00,45.60,32,"create a tiktok ugc or reels user generated content ||| fix, edit and enhance your ai generated art repainting it ||| fact check, proofread, and polish your ai generated content"
145,photos | retouch | edit | edit retouch | retouch photos,8,7,25.00,26.77,53,create and edit your photos ||| use a cctv to capture photos you send to me ||| edit and retouch your photos
146,government | proposal | rfp | government contracts | rfq,4,1,20.00,22.97,17,"write proposal for rfp, rfi, rfq, sam government contract ||| be government contracts, dod proposal writer, rfps, rfqs ||| write technical proposal to it related government contract rfp"
147,meditate | straight | minutes straight | minutes | success,3,2,5.00,5.00,0,spiritually meditate on your future success ||| meditate on your financial abundance for 5 minutes straight ||| meditate on your love life for 5 minutes straight for $5
148,mac | mac computer | remotely | repair fix | laptop,2,1,10.00,14.25,60,"repair, fix your windows, mac computer, laptop, pc remotely ||| repair, fix your mac computer, laptop,desktop,pc remotely"
149,proofreader | editor proofreader | editor | professional editor | professional,3,2,120.00,82.43,16,be your professional editor and proofreader ||| be your christian book editor and proofreader ||| be your professional editor and proofreader
